#label	id	bgsl_curator_meta
primeverose	https://glycosmos.org/glycans/show/G82276DL	"{""keep"": true, ""suggested_class"": ""3B""}"
rutinose	https://glycosmos.org/glycans/show/G68857PG	"{""keep"": true}"
sialyl-Lea	https://glycosmos.org/glycans/show/G16258KS	"{""keep"": true, ""suggested_class"": ""1A""}"
T Antigen	https://glycosmos.org/glycans/show/G00031MO	"{""keep"": true, ""suggested_class"": ""1A""}"
core 1	https://glycosmos.org/glycans/show/G00031MO	"{""keep"": true, ""suggested_class"": ""1A""}"
core 2	https://glycosmos.org/glycans/show/G00033MO	"{""keep"": true, ""suggested_class"": ""1A""}"
core 3	https://glycosmos.org/glycans/show/G00035MO	"{""keep"": true, ""suggested_class"": ""1A""}"
core 4	https://glycosmos.org/glycans/show/G00037MO	"{""keep"": true, ""suggested_class"": ""1A""}"
core 5	https://glycosmos.org/glycans/show/G00039MO	"{""keep"": true, ""suggested_class"": ""1A""}"
core 6	https://glycosmos.org/glycans/show/G00041MO	"{""keep"": true, ""suggested_class"": ""1A""}"
core 7	https://glycosmos.org/glycans/show/G00043MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis b	https://glycosmos.org/glycans/show/G00048MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis x	https://glycosmos.org/glycans/show/G00051MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis y	https://glycosmos.org/glycans/show/G00052MO	"{""keep"": true, ""suggested_class"": ""1A""}"
i Antigen	https://glycosmos.org/glycans/show/G00058MO	"{""keep"": true, ""suggested_class"": ""1A""}"
2-3 Sialylparagloboside	https://glycosmos.org/glycans/show/G01767JJ	"{""keep"": true, ""suggested_class"": ""2A""}"
GT1a alpha	https://glycosmos.org/glycans/show/G02149VR	"{""keep"": true, ""suggested_class"": ""1A""}"
2-6 Sialyl-LacNAc-Gal	https://glycosmos.org/glycans/show/G03509EL	"{""keep"": true, ""suggested_class"": ""2A""}"
Pk Antigen	https://glycosmos.org/glycans/show/G06000DZ	"{""keep"": true, ""suggested_class"": ""1A""}"
GD1 alpha	https://glycosmos.org/glycans/show/G07394RV	"{""keep"": true, ""suggested_class"": ""1A""}"
6-Sulfo LacNAc	https://glycosmos.org/glycans/show/G13157WZ	"{""keep"": true, ""suggested_class"": ""1B""}"
Delta-Heparan Sulfate	https://glycosmos.org/glycans/show/G17927IW	"{""keep"": true, ""suggested_class"": ""1A""}"
2-3 Sialyl-Lacto-N-Tetraose	https://glycosmos.org/glycans/show/G21066IE	"{""keep"": true, ""suggested_class"": ""2A""}"
Asialo GM1	https://glycosmos.org/glycans/show/G21856LC	"{""keep"": true, ""suggested_class"": ""1A""}"
Acharan Sulfate	https://glycosmos.org/glycans/show/G25575JK	"{""keep"": true, ""suggested_class"": ""1A""}"
Alpha-Galactosyl Epitope	https://glycosmos.org/glycans/show/G27798EJ	"{""keep"": true, ""suggested_class"": ""1A""}"
Monosialyl Gb5	https://glycosmos.org/glycans/show/G32254QI	"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis a	https://glycosmos.org/glycans/show/G39023AU	"{""keep"": true, ""suggested_class"": ""1A""}"
Galactose 3-O-Sulfate	https://glycosmos.org/glycans/show/G40843KY	"{""keep"": true, ""suggested_class"": ""3B""}"
GQ1b alpha	https://glycosmos.org/glycans/show/G54733XO	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl I	https://glycosmos.org/glycans/show/G54937EM	"{""keep"": true, ""suggested_class"": ""1A""}"
P1 Antigen	https://glycosmos.org/glycans/show/G55205ZV	"{""keep"": true, ""suggested_class"": ""1A""}"
I Antigen	https://glycosmos.org/glycans/show/G56045WU	"{""keep"": true, ""suggested_class"": ""1A""}"
N-Glycolyl GM2	https://glycosmos.org/glycans/show/G56478LD	"{""keep"": true, ""suggested_class"": ""1A""}"
core m2	https://glycosmos.org/glycans/show/G56868BH	"{""keep"": true, ""suggested_class"": ""1A""}"
Tn Antigen	https://glycosmos.org/glycans/show/G57321FI	"{""keep"": true, ""suggested_class"": ""1A""}"
core 0	https://glycosmos.org/glycans/show/G57321FI	"{""keep"": true}"
Fucosyl Asialo-GM1	https://glycosmos.org/glycans/show/G57920AK	"{""keep"": true, ""suggested_class"": ""1A""}"
F1 Alpha	https://glycosmos.org/glycans/show/G61730RY	"{""keep"": true, ""suggested_class"": ""1A""}"
Bata Galactose	https://glycosmos.org/glycans/show/G65889KE	"{""keep"": true, ""suggested_class"": ""2A""}"
9-O-Acetyl GD3	https://glycosmos.org/glycans/show/G74121RX	"{""keep"": true, ""suggested_class"": ""1A""}"
N-Glycolyl GM3	https://glycosmos.org/glycans/show/G75789AR	"{""keep"": true, ""suggested_class"": ""1A""}"
core 8	https://glycosmos.org/glycans/show/G76355TG	"{""keep"": true, ""suggested_class"": ""1A""}"
N-Acetyl GM2	https://glycosmos.org/glycans/show/G79389NT	"{""keep"": true, ""suggested_class"": ""1A""}"
Forssman Antigen	https://glycosmos.org/glycans/show/G80062GG	"{""keep"": true, ""suggested_class"": ""1A""}"
Poly-N-Acetylneuraminic Acid	https://glycosmos.org/glycans/show/G80631ZD	"{""keep"": true, ""suggested_class"": ""1B""}"
Keratan Sulfate	https://glycosmos.org/glycans/show/G82109MW	"{""keep"": true, ""suggested_class"": ""1A""}"
2-6 Sialylparagloboside	https://glycosmos.org/glycans/show/G83513YI	"{""keep"": true, ""suggested_class"": ""2A""}"
N-Glycolyl GD3	https://glycosmos.org/glycans/show/G84891DZ	"{""keep"": true, ""suggested_class"": ""1A""}"
core m1	https://glycosmos.org/glycans/show/G85856KC	"{""keep"": true, ""suggested_class"": ""1A""}"
N-Acetyl GM3	https://glycosmos.org/glycans/show/G91237TK	"{""keep"": true, ""suggested_class"": ""1A""}"
Fucosyl GM1	https://glycosmos.org/glycans/show/G91532KA	"{""keep"": true, ""suggested_class"": ""1A""}"
Poly-N-Glycolylneuraminic Acid	https://glycosmos.org/glycans/show/G95717TY	"{""keep"": true, ""suggested_class"": ""1B""}"
core m3	https://glycosmos.org/glycans/show/G97041TX	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl Gb5	https://glycosmos.org/glycans/show/G97932OH	"{""keep"": true, ""suggested_class"": ""1A""}"
N-Acetyl GD3	https://glycosmos.org/glycans/show/G98544DH	"{""keep"": true, ""suggested_class"": ""1A""}"
Lewis a (b1-3)Gal	https://glycosmos.org/glycans/show/G28420BK	"{""keep"": true, ""suggested_class"": ""1A""}"
Cyclic Sialyl 6-Sulfo Lewis x	https://glycosmos.org/glycans/show/G11148DZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A	https://glycosmos.org/glycans/show/G00066MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 1	https://glycosmos.org/glycans/show/G66163TI	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 1 (difucosyl)	https://glycosmos.org/glycans/show/G97501MA	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 2	https://glycosmos.org/glycans/show/G74353FF	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 2 (difucosyl)	https://glycosmos.org/glycans/show/G54826OZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 3	https://glycosmos.org/glycans/show/G99315PE	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 4	https://glycosmos.org/glycans/show/G17480GI	"{""keep"": true, ""suggested_class"": ""1A""}"
9-O-Acetyl Sialic Acid	https://glycosmos.org/glycans/show/G47325QT	"{""keep"": true, ""suggested_class"": ""3B""}"
Disialyl T Antigen	https://glycosmos.org/glycans/show/G01614ZM	"{""keep"": true, ""suggested_class"": ""1A""}"
Sialyl Tn Antigen	https://glycosmos.org/glycans/show/G36123IU	"{""keep"": true, ""suggested_class"": ""1A""}"
Trifucosyl-Lewis b Antigen	https://glycosmos.org/glycans/show/G74578MX	"{""keep"": true, ""suggested_class"": ""1A""}"
