Epitope ID	Epitope Name	Epitope Sequence	bgsl_curator_meta
EP0303	Neu5Gc(a2-3)Gal	Neu5Gc(a2-3)Gal-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0304	Neu5Ac(a2-3)Gal(b1)	Neu5Ac(a2-3)Gal(b1-)-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0305	Neu5Ac(a2-3)Gal(b1-4)Glc	Neu5Ac(a2-3)Gal(b1-4)Glc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0306	Neu5Ac(a2-8)Neu5Gc(a2-3)Gal	Neu5Ac(a2-8)Neu5Gc(a2-3)Gal-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0307	Neu5Gc(a2-8)Neu5Gc(a2-3)Gal	Neu5Gc(a2-8)Neu5Gc(a2-3)Gal-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0308	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0309	Neu5Gc(a2-8)Neu5Ac(a2-3)Gal	Neu5Gc(a2-8)Neu5Ac(a2-3)Gal-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0311	GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1)	GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-)-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0312	Galactose 3-O-Sulfate	HSO3(-3)Gal-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0313	Neu5Gc(a2-3)Gal(b1-4)Glc	Neu5Gc(a2-3)Gal(b1-4)Glc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0314	Neu5Ac(a2-3)Gal(b1-4)GlcNAc	Neu5Ac(a2-3)Gal(b1-4)GlcNAc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0315	Neu5Gc(a2-3)Gal(b1-4)GlcNAc	Neu5Gc(a2-3)Gal(b1-4)GlcNAc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0316	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc	Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0317	Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc	Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0318	GalNAc(b1-3)Gal(b1-4)GlcNAc	GalNAc(b1-3)Gal(b1-4)GlcNAc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0319	Gal(b1-4)[Fuc(a1-3)]Glc(b1)	Gal(b1-4)[Fuc(a1-3)]Glc(b1-)-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0320	GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1)	GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1-)-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0321	GalNAc(b1-4)Gal	GalNAc(b1-4)Gal-R	"{""keep"": true, ""suggested_class"": ""2A""}"
EP0322	Lacto-N-Tetraose	Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-R	"{""keep"": true, ""suggested_class"": ""1A""}"
EP0323	2-3 Sialyl-Lacto-N-Tetraose	Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc-R	"{""keep"": true, ""suggested_class"": ""2A""}"
