#label	id	#tags	bgsl_curator_meta
Neu5Ac(a2-3)Gal(b1-4)GlcNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G10203DW		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-6)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G44345UH		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-6)GalNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G08371CD		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G82775QT		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G93910CU		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G81928IQ		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G82974JM		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G95233MF		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-3)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G53517XC		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-3)Gal(b1-4)Glc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G32969VW		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-3)Gal(b1-4)GlcNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G48236KP		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-8)Neu5Ac(a2-3)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G61424BA		"{""keep"": true, ""suggested_class"": ""2A""}"
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal	https://api.glycosmos.org/wurcs2image/latest/png/binary/G16142UJ		"{""keep"": true, ""suggested_class"": ""2A""}"
O-GlcNAc	https://api.glycosmos.org/wurcs2image/latest/png/binary/G49108TO		"{""keep"": true, ""suggested_class"": ""2B""}"
O-acetyl-GD3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G74121RX		"{""keep"": true, ""suggested_class"": ""1A""}"
Paragloboside	https://api.glycosmos.org/wurcs2image/latest/png/binary/G58896AZ		"{""keep"": true, ""suggested_class"": ""1A""}"
Poly-KDN	https://api.glycosmos.org/wurcs2image/latest/png/binary/G42911NE		"{""keep"": true, ""suggested_class"": ""1B""}"
SD1a	https://api.glycosmos.org/wurcs2image/latest/png/binary/G63813EJ		"{""keep"": true, ""suggested_class"": ""1A""}"
SM3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G20044TD		"{""keep"": true, ""suggested_class"": ""1A""}"
SM4s	https://api.glycosmos.org/wurcs2image/latest/png/binary/G72548RZ		"{""keep"": true, ""suggested_class"": ""1A""}"
SSEA-1	https://api.glycosmos.org/wurcs2image/latest/png/binary/G85497PI		"{""keep"": true, ""suggested_class"": ""1A""}"
SSEA-3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G25129BT		"{""keep"": true, ""suggested_class"": ""1A""}"
SSEA-4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G84263XI		"{""keep"": true, ""suggested_class"": ""1A""}"
VIM-2	https://api.glycosmos.org/wurcs2image/latest/png/binary/G22418PV		"{""keep"": true, ""suggested_class"": ""1A""}"
Xylogalacturonan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G00367NK		"{""keep"": true, ""suggested_class"": ""1C""}"
Xyloglucan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G25326UC		"{""keep"": true, ""suggested_class"": ""1C""}"
amylose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G05740LL		"{""keep"": true, ""suggested_class"": ""1C""}"
cellobiose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G55560AP		"{""keep"": true, ""suggested_class"": ""DISCARD""}"
cellotriose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G50026IZ		"{""keep"": true}"
chitin	https://api.glycosmos.org/wurcs2image/latest/png/binary/G97099AY		"{""keep"": true, ""suggested_class"": ""1C""}"
gellan	https://api.glycosmos.org/wurcs2image/latest/png/binary/G41181BF		"{""keep"": true}"
gentiobiose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G47329OU		"{""keep"": true}"
iGb3	https://api.glycosmos.org/wurcs2image/latest/png/binary/G78074HX		"{""keep"": true, ""suggested_class"": ""1A""}"
iGb4	https://api.glycosmos.org/wurcs2image/latest/png/binary/G57710SU		"{""keep"": true, ""suggested_class"": ""1A""}"
isomaltose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G36281WI		"{""keep"": true, ""suggested_class"": ""3B""}"
isopanose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G37117TJ		"{""keep"": true, ""suggested_class"": ""3B""}"
lactose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G15541SE		"{""keep"": true, ""suggested_class"": ""DISCARD""}"
maltose	https://api.glycosmos.org/wurcs2image/latest/png/binary/G44653LT		"{""keep"": true, ""suggested_class"": ""DISCARD""}"
