id	label	glytoucan_id	aliases	url
GDV.000101	GQ1c	G99524KA		https://glycomotif.glyomics.org/glycomotif/GDV.000101
GDV.000102	cisGM1 (GM1b)	G03277YI		https://glycomotif.glyomics.org/glycomotif/GDV.000102
GDV.000103	SDLex	G19619KS		https://glycomotif.glyomics.org/glycomotif/GDV.000103
GDV.000104	6-Sulfo-sialyl Lewis x (6-sulfo SLex)	G80722US		https://glycomotif.glyomics.org/glycomotif/GDV.000104
GDV.000105	Sialyl Lewis x (SLex)	G00054MO		https://glycomotif.glyomics.org/glycomotif/GDV.000105
GDV.000106	SLex Core 2 O-glycan glycan	G97345NY		https://glycomotif.glyomics.org/glycomotif/GDV.000106
GDV.000107	Disialyl-branched Type 2	G54937EM		https://glycomotif.glyomics.org/glycomotif/GDV.000107
GDV.000108	GM3	G91237TK		https://glycomotif.glyomics.org/glycomotif/GDV.000108
GDV.000109	2,6-Branched O-mannose	G06953DR		https://glycomotif.glyomics.org/glycomotif/GDV.000109
GDV.000110	O-Linked mannose	G59126YU		https://glycomotif.glyomics.org/glycomotif/GDV.000110
GDV.000111	VIM-2	G22418PV		https://glycomotif.glyomics.org/glycomotif/GDV.000111
GDV.000112	3-Sialyl-LN (type 2)	G10203DW		https://glycomotif.glyomics.org/glycomotif/GDV.000112
GDV.000113	GM4	G30207PZ		https://glycomotif.glyomics.org/glycomotif/GDV.000113
GDV.000114	Sialosyl paragloboside	G50123ZO		https://glycomotif.glyomics.org/glycomotif/GDV.000114
GDV.000115	2,6-sialyl-Sulfo-LN (6-sialyl-6-sulfo LN)	G43191LZ		https://glycomotif.glyomics.org/glycomotif/GDV.000115
GDV.000116	Monosialylganglioside LSTb	G83513YI		https://glycomotif.glyomics.org/glycomotif/GDV.000116
GDV.000117	Sialyl Tn antigen	G36123IU		https://glycomotif.glyomics.org/glycomotif/GDV.000117
GDV.000118	Sialylated LDN	G55583HW		https://glycomotif.glyomics.org/glycomotif/GDV.000118
GDV.000119	6-Sialyl-GalNAc or 6-Sialyl LN (type 1 or 2)	G73708UL		https://glycomotif.glyomics.org/glycomotif/GDV.000119
GDV.000120	Sialosyl paragloboside	G00065MO		https://glycomotif.glyomics.org/glycomotif/GDV.000120
GDV.000121	GQ1aa	G90598GO		https://glycomotif.glyomics.org/glycomotif/GDV.000121
GDV.000122	GH1ca	G14091MR		https://glycomotif.glyomics.org/glycomotif/GDV.000122
GDV.000123	GT1a	G68110IF		https://glycomotif.glyomics.org/glycomotif/GDV.000123
GDV.000124	GQ1b	G18625KA		https://glycomotif.glyomics.org/glycomotif/GDV.000124
GDV.000125	GP1c	G26203DP		https://glycomotif.glyomics.org/glycomotif/GDV.000125
GDV.000126	GD1 (GD1c)	G81983KG		https://glycomotif.glyomics.org/glycomotif/GDV.000126
GDV.000127	GD3	G98544DH		https://glycomotif.glyomics.org/glycomotif/GDV.000127
GDV.000128	GT3	G93899SO		https://glycomotif.glyomics.org/glycomotif/GDV.000128
GDV.000129	GD3	G98544DH		https://glycomotif.glyomics.org/glycomotif/GDV.000129
