id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GDV.000094	GT1aa	G02149VR			https://glycomotif.glyomics.org/glycomotif/GDV.000094	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GT1a-alpha""}"
GDV.000095	GP1c	G04433GV			https://glycomotif.glyomics.org/glycomotif/GDV.000095	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000096	GD1a	G45714BQ			https://glycomotif.glyomics.org/glycomotif/GDV.000096	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000097	Sialyl T antigen	G65562ZE			https://glycomotif.glyomics.org/glycomotif/GDV.000097	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000098	GL-7 globoseries ganglioside (SSEA-4)	G32254QI			https://glycomotif.glyomics.org/glycomotif/GDV.000098	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GL-7 globoseries ganglioside"", ""notes"": ""Has related synonym SSEA-4""}"
GDV.000099	GD1a	G46677TE			https://glycomotif.glyomics.org/glycomotif/GDV.000099	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000100	GT1b	G40183QN			https://glycomotif.glyomics.org/glycomotif/GDV.000100	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000101	GQ1c	G99524KA			https://glycomotif.glyomics.org/glycomotif/GDV.000101	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000102	cisGM1 (GM1b)	G03277YI			https://glycomotif.glyomics.org/glycomotif/GDV.000102	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""cisGM1""}"
GDV.000103	SDLex	G19619KS			https://glycomotif.glyomics.org/glycomotif/GDV.000103	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000104	6-Sulfo-sialyl Lewis x (6-sulfo SLex)	G80722US			https://glycomotif.glyomics.org/glycomotif/GDV.000104	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""6-Sulfo-sialyl Lewis x"", ""notes"": ""Has abbreviation 6-sulfo SLex.""}"
GDV.000105	Sialyl Lewis x (SLex)	G00054MO			https://glycomotif.glyomics.org/glycomotif/GDV.000105	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Sialyl Lewis x""}"
GDV.000106	SLex Core 2 O-glycan glycan	G97345NY			https://glycomotif.glyomics.org/glycomotif/GDV.000106	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Description: Slex on Core 2 O-glycan""}"
GDV.000107	Disialyl-branched Type 2	G54937EM			https://glycomotif.glyomics.org/glycomotif/GDV.000107	"{""keep"": true, ""suggested_class"": ""1B""}"
GDV.000108	GM3	G91237TK			https://glycomotif.glyomics.org/glycomotif/GDV.000108	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000109	2,6-Branched O-mannose	G06953DR			https://glycomotif.glyomics.org/glycomotif/GDV.000109	"{""keep"": true, ""suggested_class"": ""2C""}"
GDV.000110	O-Linked mannose	G59126YU			https://glycomotif.glyomics.org/glycomotif/GDV.000110	"{""keep"": true, ""suggested_class"": ""2B""}"
GDV.000111	VIM-2	G22418PV			https://glycomotif.glyomics.org/glycomotif/GDV.000111	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000112	3-Sialyl-LN (type 2)	G10203DW			https://glycomotif.glyomics.org/glycomotif/GDV.000112	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""3-Sialyl-LN type 2""}"
GDV.000113	GM4	G30207PZ			https://glycomotif.glyomics.org/glycomotif/GDV.000113	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000114	Sialosyl paragloboside	G50123ZO			https://glycomotif.glyomics.org/glycomotif/GDV.000114	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000115	2,6-sialyl-Sulfo-LN (6-sialyl-6-sulfo LN)	G43191LZ			https://glycomotif.glyomics.org/glycomotif/GDV.000115	"{""keep"": true, ""suggested_class"": ""1B"", ""preferred_label_override"": ""6-sialyl-6-sulfo LN"", ""notes"": ""Has exact synonym 2,6-sialyl-Sulfo-LN.""}"
GDV.000116	Monosialylganglioside LSTb	G83513YI			https://glycomotif.glyomics.org/glycomotif/GDV.000116	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000117	Sialyl Tn antigen	G36123IU			https://glycomotif.glyomics.org/glycomotif/GDV.000117	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000118	Sialylated LDN	G55583HW			https://glycomotif.glyomics.org/glycomotif/GDV.000118	"{""keep"": true, ""suggested_class"": ""1B""}"
GDV.000119	6-Sialyl-GalNAc or 6-Sialyl LN (type 1 or 2)	G73708UL			https://glycomotif.glyomics.org/glycomotif/GDV.000119	"{""keep"": true, ""suggested_class"": ""2A"", ""preferred_label_override"": ""6-Sialyl-GalNAc"", ""notes"": ""Has exact synonym 6-Sialyl LN - type 1 or 2.""}"
GDV.000120	Sialosyl paragloboside	G00065MO			https://glycomotif.glyomics.org/glycomotif/GDV.000120	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000121	GQ1aa	G90598GO			https://glycomotif.glyomics.org/glycomotif/GDV.000121	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GQ1a-alpha""}"
GDV.000122	GH1ca	G14091MR			https://glycomotif.glyomics.org/glycomotif/GDV.000122	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GH1c-alpha""}"
GDV.000123	GT1a	G68110IF			https://glycomotif.glyomics.org/glycomotif/GDV.000123	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000124	GQ1b	G18625KA			https://glycomotif.glyomics.org/glycomotif/GDV.000124	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000125	GP1c	G26203DP			https://glycomotif.glyomics.org/glycomotif/GDV.000125	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000126	GD1 (GD1c)	G81983KG			https://glycomotif.glyomics.org/glycomotif/GDV.000126	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GD1""}"
GDV.000127	GD3	G98544DH			https://glycomotif.glyomics.org/glycomotif/GDV.000127	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000128	GT3	G93899SO			https://glycomotif.glyomics.org/glycomotif/GDV.000128	"{""keep"": true, ""suggested_class"": ""1A""}"
GDV.000129	GD3	G98544DH			https://glycomotif.glyomics.org/glycomotif/GDV.000129	"{""keep"": true, ""suggested_class"": ""1A""}"
