Glycan determinant in N- and O-glycans and glycolipids	Trivial name (and reference)a	bgsl_curator_meta
Su-3GlcAβ1-3Galβ1-4GlcNAcβ1-R	HNK-1 antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
Su-3GlcAβ1-3Galβ1-4GlcNAcβ1-2Manα1-Ser/Thr	HNK-1 on O-mannose	"{""keep"": true, ""suggested_class"": ""1A""}"
Glcβ1-Cer	Glucosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-Cer	Galactosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
Su-3Galβ1-alkyl-2-acyl-s-glycerol	Seminolipid	"{""keep"": true}"
Su-3Galβ1-Cer	Sulfatide	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-4Glcβ1-Cer	Lactosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
Su-3Galβ1-4Galβ1-Cer	Ceramide dihexosyl sulfate	"{""keep"": true, ""suggested_class"": ""1B""}"
Su-3Galβ1-3GalNAcβ1-4Galβ1-4Glcβ1-Cer	Monosulfated gangliotetraosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Lactotriaosylceramide (Lc3)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Lactotriaosylceramide""}"
Galα1-4Galβ1-4Glcβ1-Cer	Pk antigen (Gb3, globotriaosylceramide)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Pk antigen"", ""notes"": ""Has related synonym globotriaosylceramide.""}"
Galα1-4Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ1-Cer	P1 antigen	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	Globoside (P antigen) (Gb4) 	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""Globoside"", ""notes"": ""Has related synonym P antigen. Has related synonym Gb4.""}"
GalNAcβ1-3Galα1-3Galβ1-4Glcβ-Cer	Isoglobotetraosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
Su-GalNAcβ1-3Galα1-3Galβ1-4Glcβ1-Cer	Mono-sulfated globopentaosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
Su-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ-Cer	Mono-sulfated globotetraosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
Su-3GalNAcβ1-3Galα1-3Galβ1-4Glcβ-Cer	Sulfo-isogloboside	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-4(GlcNAcβ1-3)Galβ1-4Glcβ1-Cer	LcGg4	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	Gb5	"{""keep"": true, ""suggested_class"": ""1A""}"
Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Paragloboside	"{""keep"": true, ""suggested_class"": ""1A""}"
Fucα1-2Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	GL-6 fucosylated (globoH)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""fucosylated GL-6"", ""notes"": ""Has related synonym globo H.""}"
Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	SSEA-3	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	GL-7 globoseries ganglioside (SSEA-4)	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GL-7"", ""notes"": ""Has related synonym SSEA-4""}"
NeuAcα2-3GalNAcβ1-3Galβ1-4GlcNAcβ1-3Galβ1-4Glcβ1-Cer	Sialosyl paragloboside	"{""keep"": true, ""suggested_class"": ""1A""}"
NeuAcα2-3Galβ1-3(NeuAcα2-6)GalNAcβ1-3Galα1-4Galβ1-4Glcβ1-Cer	Disialosyl globopentaosylceramide	"{""keep"": true, ""suggested_class"": ""1A""}"
GalNAcβ1-3Galα1-3Galβ1-4Glcβ1-Cer	Cytolipin R	"{""keep"": true, ""suggested_class"": ""1A""}"
