lbl,gsd_id
paucimannose N-glycan,GSD000144
P blood group antigens,None
pectin,None
phosphomannan,None
phosphopeptidomannan,None
polyfucose branch,None
polyglycosylceramide,None
poly-lacto-N-biose,None
polymannose,None
polymannosyl N-glycan,None
poly-N-acetylglucosamine,None
poly-N-acetyllactosamine,None
polysaccharide A,None
polysialic acid,GSD000182
pseudomurein,None
raffinose,None
Rhamnogalacturonan-II,None
Rhamnogalacturonan-I,None
rhamnogalacturonan,None
rhamnomannan,None
R-linked α-N-acetylglucosamine,None
Sda antigen,GSD000145
sialofucosylated glycolipid,None
sialoglycan polymer,None
sialoglycan,None
sialoglycolipid,None
sialylated biantennary N-glycan,GSD000154
sialylated glycolipid,None
sialylated glycosphingolipid,None
sialylated N-acetyllactosamine,None
sialylated N-glycan,None
sialylated O-GalNAc glycan,None
sialylated O-glycan,None
sialyl Lewis a,GSD000150
CA19-9,None
sialyl Lewis x,GSD000151
sialyl-Tn antigen,None
sialyl-Tn,GSD000157
Siaα2-3Galβ1-4GlcNAc,None
Siaα2-6Galβ1-4GlcNAc,None
S-linked glucose,None
SSEA-4,GSD000161
starch,None
sulfated galactan,None
sulfated glucuronosyl glycan,None
sulfated glycan,None
sulfated glycosaminoglycan,None
sulfated N-glycan,None
sulfated O-GalNAc glycan,None
sulfated terminal β-linked GalNAc,None
sulfatide,GSD000162
T antigen,GSD000163
teichoic acid,None
terminal fucose,None
terminal galactose,None
terminal glucuronic acid,None
terminal mannose,None
terminal N-acetylgalactosamine,None
terminal N-acetylglucosamine,None
terminal sialic acid,None
terminal α1-6 mannose,None
terminal α-linked fucose,None
terminal α-linked-galactose,None
terminal α-linked mannose,None
terminal β-linked galactose,None
terminal β-linked N-acetylgalactosamine,None
tetraantennary N-glycan,GSD000164
Tn antigen,GSD000167
"trehalose-6,6-dimycolate",None
triantennary N-glycan,GSD000170
tri-mannose,None
truncated core 1 O-glycan,None
truncated N-glycan,None
truncated O-GalNAc glycan,None
truncated O-glycan,None
type-1 unit,None
type-2 unit,None
type-4 chain,None
xylan,None
xylogalacturonan,None
xyloglucan,None
xyloside,None
xylosylated glycans,None
α(1-3)-linked N-acetylgalactosamine,None
α(1-6)-linked glucose branch,None
α2-3 sialic acid branch,None
α2-3 sialyllactosamine,None
α-Gal epitope,GSD000016
α-linked mannose,None
α-linked O-fucose modification,None
α-linked polyglucose,None
α-mannan,None
α-mannose-containing glycan,None
α-sialyl linkage,None
"β-(1,3)-glucan",None
"β-(1,4)-glucan",None
"β-(1,4)-mannuronate",None
β2-linked mannose polymer,None
β2-linked N-acetylglucosamine,None
β4-linked N-acetylgalactosamine,None
β4-linked N-acetylglucosamine,None
β6-linked N-acetylglucosamine,None
β-D-xyloside,None
β-glucan,None
β-linked galactose,None
β-linked Kdo,None
β-N-acetylgalactosaminide,None
β-N-acetylglucosaminide,None
α2-6-sialylated 6-sulfo-LacNAc,GSD000002
2-fucosyl GD1b,GSD000003
2-fucosyl GM1,GSD000004
3-sialyl LN (type 2),GSD000005
3'-sulfo Lewis a,GSD000006
3'-sulfo Lewis X,GSD000007
"6,6′-dissulfo sialyl Lewis X",GSD000008
6-sialyl GalNAc,GSD000009
9-O-acetyl GD3,GSD000012
alpha-galactosylceramide,GSD000017
asialylated biantennary N-glycan,GSD000018
B-GM1,GSD000021
blood group A type 1,GSD000030
blood group A type 2,GSD000014
blood group A type 3,GSD000187
blood group A type 4,GSD000028
blood group B type 1,GSD000033
blood group B type 2,GSD000034
blood group B type 4,GSD000035
blood group H type 2,GSD000037
blood group H type 3,GSD000105
blood group H type 4,GSD000039
chondroitin sulfate/dermatan sulfate,GSD000184
core-fucosylated biantennary N-glycan,GSD000050
core-fucosylated biantennary complex-type N-glycan,GSD000051
Cytolipin R,GSD000053
desialylated glycan,GSD000055
difucosylated tetraantennary N-glycan,GSD000057
dimeric Lewis x,GSD000058
diphosphorylated Man6,GSD000059
disialosyl globopentaosylceramide,GSD000060
disialyl T antigen,GSD000064
disialylated fucosylated glycan,GSD000067
Forssman glycolipid,GSD000069
fucosylated tetraantennary N-glycan,GSD000070
fucosylated asialo-biantennary N-glycan,GSD000072
fucosylated biantennary N-glycan,GSD000073
fucosylated disialylated biantennary N-glycan,GSD000074
fucosylated lacdiNAc,GSD000075
fucosylated triantennary N-glycan,GSD000077
galabiosylceramide,GSD000078
globopentaosylceramide,GSD000081
GD2,GSD000085
GD3,GSD000086
globoside,GSD000088
globoside I,GSD000088
cytolipin K,GSD000088
GM4,GSD000094
GP1c,GSD000095
GQ1c,GSD000098
GT1a,GSD000099
GT2,GSD000103
GT3,GSD000104
isoglobotetraosylceramide,GSD000113
lactotriaosylceramide,GSD000117
LcGg4,GSD000118
Lewis y,GSD000122
monosialylated N-glycan,GSD000123
monosialylated biantennary N-glycan,GSD000124
monosialyl Gb5,GSD000125
monosulfated globopentaosylceramide,GSD000126
monosulfated globotetraosylceramide,GSD000127
N-acetyl GM2,GSD000128
N-acetyllactosamine (type 1),GSD000181
N-acetyllactosamine (type 2),GSD000129
N-glycolyl GM2,GSD000130
nonfucosylated N-glycan,GSD000132
nonfucosylated biantennary N-glycan,GSD000133
nonfucosylated triantennary N-glycan,GSD000135
nonsialylated N-glycan,GSD000136
Para-Forssman glycolipid,GSD000142
paragloboside,GSD000143
seminolipid,GSD000147
sialopentaosylceramide,GSD000148
sialosyl paragloboside,GSD000149
sialyl T antigen,GSD000153
sialylated LacdiNAc,GSD000192
sialylated tetraantennary N-glycan,GSD000156
SSEA-1,GSD000159
SSEA-3,GSD000160
sulfated LacdiNAc,GSD000191
tetraantennary complex-type N-glycan,GSD000165
triantennary complex-type N-glycan,GSD000169
fucosylated trisialylated triantennary N-glycan,GSD000172
trifucosyl Lewis b,GSD000173
trifucosyl lewis y,GSD000174
trimannosyl core,GSD000175
trisialylated biantennary N-glycan,GSD000178
trisialylated triantennary N-glycan,GSD000179
VIM-2,GSD000180
cyclic sialyl 6-sulfo Lewis x,GSD000052
sialyl Lewis x-i antigen,GSD000152
6-sulfo LacNAc,GSD000010
disialyl Gb5,GSD000061
GalNAc disialyl Lc4 hexasaccharide,GSD000080
GQ1b alpha,GSD000097
GT1a alpha,GSD000100
disialyl I antigen,GSD000062
"2,6-branched O-mannose",GSD000001
disialylated biantennary N-glycan,GSD000065
tetrasialylated biantennary N-glycan,GSD000166
ceramide dihexosyl sulfate,GSD000041
cisGM1,GSD000044
disialylated biantennary complex-type N-glycan,GSD000066
asialo-GM2,None
asialo-GM3,None
arabinan,None
chondroitin-6-sulfate,None
Fuc(a1-3)GalNAc(b1),None
GA2,None
GM1a,None
Gal(b1-3)GalNAc,None
Gal(b1-4)[Fuc(a1-3)]Glc(b1),None
Gal-CTH,None
GalNAc(b1-3)Gal(b1-4)GlcNAc,None
GalNAc(b1-4)Gal,None
GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1),None
GalNAc(b1-4)[Neu5Gc(a2-3)]Gal(b1),None
GalNAc-GD1a,None
galactosylgloboside,None
Gb4,None
Gg3,None
Gg4,None
Gg5,None
GlcNAc(b1-3)Gal,None
GlcNAc(b1-3)Gal(b1-4)GlcNAc,None
KDN-Gal,None
LacNAc-Gal,None
lacto-N-neotetraose,None
lacto-N-tetraose,None
lactogangliotetraosylceramide,None
lactotetraosylceramide,None
Lc4,None
M3FX,None
Neu5Ac(a2-3)Gal(b1-3)GalNAc,None
Neu5Ac(a2-3)Gal(b1-4)Glc,None
Neu5Ac(a2-3)Gal(b1-4)GlcNAc,None
Neu5Ac(a2-6)GalNAc,None
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal,None
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-3)GalNAc,None
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc,None
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal,None
Neu5Ac(a2-8)Neu5Gc(a2-3)Gal(b1-4)Glc,None
Neu5Gc(a2-3)Gal,None
Neu5Gc(a2-3)Gal(b1-4)GlcNAc,None
Neu5Gc(a2-8)Neu5Ac(a2-3)Gal,None
Neu5Gc(a2-8)Neu5Gc(a2-3)Gal,None
poly-KDN,None
SD1a,None
SM3,None
SM4s,None
amylose,None
cellotriose,None
gellan,None
gentiobiose,None
iGb3,None
iGb4,None
isomaltose,None
isopanose,None
lactose,None
maltose,None
melibiose,None
nLc4,None
nLc6,None
