ligand_id	url	label	glycoconjugate_type	aglycon	ligand_types	ligand_synonyms	glycan_references:glytoucan	glycan_references:glyconnect	bgsl_curator_meta
SB0146	https://sugarbind.expasy.org/ligands/146	Lewis b (Leb-4)			Fucosylated | Lewis blood group		G39211DH		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0147	https://sugarbind.expasy.org/ligands/147	Lewis y (Ley-4)			Fucosylated | ABH blood group		G49963IQ	3064	"{""keep"": true, ""suggested_class"": ""1A""}"
SB0148	https://sugarbind.expasy.org/ligands/148	B antigen(tri-)			Fucosylated | ABH blood group		G58612ZQ		"{""keep"": true}"
SB0149	https://sugarbind.expasy.org/ligands/149	A antigen(tri-)			Fucosylated | ABH blood group		G55958KV		"{""keep"": true}"
SB0150	https://sugarbind.expasy.org/ligands/150	H type 1 Lewis b (H type 1 Leb)			Fucosylated | ABH blood group | Lewis blood group		G14300ZJ		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0151	https://sugarbind.expasy.org/ligands/151	B type 1 B Lewis b (B type 1 B Leb)			Fucosylated | ABH blood group | Lewis blood group		G94938PL		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0152	https://sugarbind.expasy.org/ligands/152	A type 1 A Lewis b (A type 1 A Leb)			Fucosylated | ABH blood group | Lewis blood group		G12068BR		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0153	https://sugarbind.expasy.org/ligands/153	H type 1			Fucosylated | ABH blood group		G50899UD		"{""keep"": true}"
SB0154	https://sugarbind.expasy.org/ligands/154	H3 (di-)			Fucosylated | ABH blood group		G66086EX	121	"{""keep"": true}"
SB0155	https://sugarbind.expasy.org/ligands/155	Lewis a (Lea-3)			Fucosylated | Lewis blood group		G00047MO		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0156	https://sugarbind.expasy.org/ligands/156	Precusor Lewis a (Precusor Lea)			Glycotope		G23041XK		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0157	https://sugarbind.expasy.org/ligands/157	Lewis x (Lex-3)			Fucosylated | Lewis blood group		G01187XC	3238	"{""keep"": true, ""suggested_class"": ""1A""}"
SB0158	https://sugarbind.expasy.org/ligands/158	NeuGca2-3I	Glycosphingolipid	Ceramide	Sialylated		G72494BI		"{""keep"": true}"
SB0159	https://sugarbind.expasy.org/ligands/159	NeuAca2-6I	Glycosphingolipid	Ceramide	Sialylated		G37563FN		"{""keep"": true, ""suggested_class"": ""2A""}"
SB0160	https://sugarbind.expasy.org/ligands/160	LNFP II			Fucosylated | Lewis blood group		G98173LG		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0161	https://sugarbind.expasy.org/ligands/161	Lacto-N-fucopentose			Fucosylated | Lewis blood group		G98173LG		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0162	https://sugarbind.expasy.org/ligands/162	Sialyl Lewis a (SLea)			Sialylated | Fucosylated | Lewis blood group		G91326YS		"{""keep"": true, ""suggested_class"": ""1A""}"
SB0163	https://sugarbind.expasy.org/ligands/163	Melibiose			Glycotope		G86123DJ		"{""keep"": true, ""suggested_class"": ""3B""}"
SB0170	https://sugarbind.expasy.org/ligands/170	Leukosialin (Sialophorin and SPN, CD43)	Glycoprotein	Protein	Sialylated	Sialophorin and SPN	G50850NI		"{""keep"": true}"
SB0171	https://sugarbind.expasy.org/ligands/171	Leukocyte common antigen (CD45)	Glycoprotein	Protein	Sialylated		G50850NI		"{""keep"": true}"
SB0172	https://sugarbind.expasy.org/ligands/172	N-acetylneuraminic acid (NeuAc)			Sialylated		G50850NI		"{""keep"": true, ""suggested_class"": ""3B""}"
SB0174	https://sugarbind.expasy.org/ligands/174	Lactotetraose (LNT, Lacto-N-tetraose)				Lacto-N-tetraose	G45827GY	660	"{""keep"": true}"
SB0175	https://sugarbind.expasy.org/ligands/175	Neolactotetrose (LNnT, Lacto-N-neotetraose)				Lacto-N-neotetraose	G48059CD	3051	"{""keep"": true}"
SB0181	https://sugarbind.expasy.org/ligands/181	Sialyllacto-N-neotetraose (Sai-LNnT)	Glycosphingolipid	Ceramide	Sialylated | Sulfated | Fucosylated		Glytoucan : -		"{""keep"": true}"
