bgsl_id	term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
GSD:750c698e-8e07-41b0-9544-0913ce47c510	6-sialyl GalNAc					sialyl Tn antigen; 6-Sialyl LN (type 1); 6-Sialyl LN (type 2)	3B	G08371CD; G73708UL	GSD000009	GlycoMotif:GGM.000035; GlycoMotif:GDV.000119; GlycoMotif:CCRC.000035	GSD_GLYGEN_V0; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
GSD:9447ca95-04fd-5700-9db0-2a3ee02c2a4a	9-O-acetylated sialic acid	9-O-acetylated Sia; 9-O-Ac-Sia; 9-O-acetylated-SA; 9-O-acetyl sialic acid					3B	G47325QT			EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	As such, it is the sialytransferase-mediated delivery of 9-O-acetylated sialic to acceptor substrates that leads to the 9-O-acetylated glycoconjugates observed. 9-O-acetylated sialic acid plays a role in CD22 signaling, a process regulated by the opposing action of a sialate 9-O-acetylesterase (SIAE).
GSD:9045411f-6f4b-4611-9db9-81be28c8464b	Abequose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:804f1944-7e16-4835-ab60-94e899b44092	Acosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:827a8e35-ac61-4da3-8e3c-9533b26a7192	Allose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:4cf92940-c1b6-4547-a624-d773f130063d	Altrose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:d2573639-a163-4b5a-97de-024409149f23	Amicetose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:ad271a4a-1a58-4809-b395-2981b05bf443	Apiose						3B				PUBDICT_GLYCONAVI_NAME	For instance, apiose is a component of the polysaccharide apiogalacturonan of L. minor, and strepose is a component of the antibiotic streptomycin, produced by Streptomyces griseus.
GSD:197f2c04-6eb9-450f-ab0a-e8f76e92c4a2	Arabinose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:6890924a-0080-4a7a-a87b-8f0fd114028f	Arcanose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:ad7502cf-e8cf-45b2-b5d4-aa5ed365c918	Ascarylose						3B				PUBDICT_GLYCONAVI_NAME	
GSD:1aeae3c6-2256-4d52-8a19-aa689341df9b	Bacillosamine						3B				PUBDICT_GLYCONAVI_NAME	
GSD:ed3beb04-a181-4253-853f-e69fa9830692	Beta Galoctose						3B	G65889KE			PUBDICT_GLYCAN_MOTIF	
GSD:f50f4d92-6973-422f-a900-97e630106f94	Beta-linked galactose						3B	G65889KE			SUGARBIND	
