term	exact_synonyms	abbreviations	broad_synonyms	narrow_synonyms	related_synonyms	classification	gtc_id	gsd_id	glycomotif_id	sources	eog_sentence
3'-sulfo Lewis X	3'-sulfo-Le(x); 3'-Sulfo Lewis x; 3'-sulfo Le^x; 3'-sulfo Lex; 3'-su-Lewis x; 3'-Sulfo-Lewis x (3'-sulfo Lex))	3'-sulfo Lex; 3'-sulfo Le^x				1A	G12295TB; G26555CS; G51907PX	GSD000007	GlycoMotif:GGM.000029; GlycoMotif:GDV.000048; GlycoMotif:CCRC.000029	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; BIOOLIGO; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
3'S-Di-LeA						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'S-Di-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'S-Di-Lex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'SL (Gc)						1A				PUBDICT_GLYCONAVI_NAME	
3'SLeA-LeX						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'SLec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'SLec (Gc)						1A				PUBDICT_GLYCONAVI_NAME	
3'SLecLN						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'SLex						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3'SLN-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
3,6-(LacNAc)2Tn						1A				BIOOLIGO	
3-6-STn						1A				BIOOLIGO	
3-Fucosylated Blood group A tetraose						1A				BIOOLIGO	
3-Fucosylated Blood group B tetraose						1A				BIOOLIGO	
3-Fucosyllactose						1A				BIOOLIGO	
3-LacNAc-Tn						1A				BIOOLIGO	
3-Sulfo-Lewis a (3'-Sulfo Lewis a)						1A	G78706CK			PUBDICT_GLYCAN_MOTIF	
3-Sulfo-Lewis x (3-sulfo LewisX)						1A	G12295TB			PUBDICT_GLYCAN_MOTIF	
4' sulfo Lewis X						1A				BIOOLIGO	
6'-SiaaTF						1A				BIOOLIGO	
6'-sulfo-sialyl Lewis x	sialyl-6'-sulfo-Lex; Sialyl-6'-sulfo-Lewis x; 6'-sulfo-SLex; 6'-sulfated sialyl Lewis x-; 6'-Sulfo-sialyl Lewis x; 6'-sulfo SLex; 6-sulfo SLex; 6'-Sulfo Sialyl Lewis x; 6-Sulfo Sialyl Lewis x	6-sulfo SLex; 6-sulfo SLe^x; 6'-sulfo-sLe(x); Su-SaiLex; Su-Slex; Su-SLex; 6'-sulfo SLex; 6'-sulfo SLe^x				1A	G80722US; G00672PE; G77659VW; G23322RK	GSD000011	GlycoMotif:GGM.000027; GlycoMotif:GGM.000025; GlycoMotif:GDV.000088; GlycoMotif:GDV.000104; GlycoMotif:CCRC.000025; GlycoMotif:CCRC.000027	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; SUGARBIND; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
6'-Sulfo-sialyl Lewis x (6'-sulfo SLex)						1A	G06378CG; G53231FE; G80722US			PUBDICT_GLYCAN_MOTIF	
6'SL						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
6'STF						1A				PUBDICT_GLYCONAVI_NAME	
6,6'- disulfo sialyl Lewis X						1A	G00659GQ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
6,6'-bissulfo-Lewis x	6,6'-bisSulfo-Lewis x (6,6'-bissulfo Lex)); 6,6'-bisSulfo-Lewis x	6,6'-bissulfo Lex; 6,6'-bissulfo Le^x			6,6'-Disulfo Sialyl Lewis x	1A	G00659GQ; G46799JK; G23094GH		GlycoMotif:GGM.000028; GlycoMotif:GDV.000087; GlycoMotif:CCRC.000028	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
6,6'-dissulfo sialyl Lewis X	6,6'-bissulfo sialyl Lewis X; 6,6'-disulfo sLex					1A	G00659GQ	GSD000008	GlycoMotif:GGM.000028	GSD_GLYGEN_V0	
6-LacNAc-TF						1A				BIOOLIGO	
6-LacNAc-Tn						1A				BIOOLIGO	
6-Siab-TF						1A				BIOOLIGO	
6-su-Gal-SiaLewis x						1A				BIOOLIGO	
6-su-GalNAc-SiaLewis x						1A				BIOOLIGO	
6-sulfo Lewis x						1A	G89307GT			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
6-sulfo sialyl Lewis c		Su-SaiLec; Su-SLec				1A	G93779QZ			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
6SLN-Lec						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
9-O-acetyl GD3	9-O-Acetylated GD3; 9-O-Acetyl-GD3; 9-O-Ac-GD3	acGD3			CD60b	1A	G74121RX; G98544DH; G81928IQ	GSD000012	GlycoMotif:GGM.000093; GlycoMotif:CCRC.000093	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
9OAc3'Slec						1A				PUBDICT_GLYCONAVI_NAME	
A antigen						1A	G55958KV; G71832QJ		GlycoMotif:CCRC.000011	SUGARBIND; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	Antibodies against the Lea antigens have been implicated in occasional transfusion reactions.
A antigen type 3			A antigen			1A	G99315PE		GlycoMotif:GGM.000011; GlycoMotif:GDV.000056	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
A Lewis b		A Leb; A-Leb				1A	G48600JD; G97501MA			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
A tetra L						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
A tetra type 1						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
A type 1 A Lewis b	A type 1 A Leb					1A	G12068BR			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
a-Galactose on Core 2						1A				BIOOLIGO	
A-Ley						1A	G54826OZ			PUBDICT_GLYCAN_MOTIF	
a2-3 Neu5Ac on Core 1						1A				BIOOLIGO	
acharan sulfate						1A	G25575JK			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
alkylacylphosphatidylinositol-anchored glycan						1A				EOG_VARKI_4E	
alpha-gal antigen	a-Gal antigen; alpha-Gal antigen; α-Gal epitope; alpha-galactosyl epitope; Galalpha1-3Gal epitope	αGal				1A	G24432YB; G00046MO; G27798EJ	GSD000016	GlycoMotif:GGM.000015; GlycoMotif:GDV.000022; GlycoMotif:CCRC.000015	GSD_GLYGEN_V0; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCOSMOS	
alpha-galactosylceramide		alpha-GalCer; α-GalCer				1A		GSD000017		GSD_GLYGEN_V0	
Antigen A	Antigen A					1A	G58507AZ			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
Antigen H				H1 (tri-)		1A	G88393MK			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
asialo-GM1		as-GM1; aGM1; AGM1		Asialo-GM1a	GA1; Gangliotetraosylceramide; GgO4; Gg4; ganglio-N-tetraosylceramide	1A	G21856LC; G00407UJ	GSD000019	GlycoMotif:GGM.000099; GlycoMotif:GDV.000033; GlycoMotif:CCRC.000099	EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV; GLYCOEPITOPE; PUBDICT_GLYCOSMOS	
asialo-GM2		aGM2; AGM2				1A	G90562PB			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV; PUBDICT_GLYCOSMOS	
asialo-GM3		aGM3; AGM3				1A	G84224TW; G15541SE			PUBDICTIONARIES-GLYCAN-IMAGE; PUBDICT_GLYCOSMOS	
B antigen						1A	G58612ZQ			SUGARBIND	Type-4 H, A, and B antigens form the O (H), A, and B blood group determinants on glycolipids.
B antigen (type 3)						1A	G88313DY		GlycoMotif:GGM.000201	GLYCOMOTIF_GGM	
B Lewis b		B Leb				1A	G60395SO			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
B tetra L						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
B tetra type 1						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
B type 1 B Lewis b	B type 1 B Leb					1A	G94938PL			SUGARBIND; PUBDICT_GLYCAN_MOTIF	
b-galactosylated Core 2						1A				BIOOLIGO	
B-GD1b						1A	G72557NR; G29966WK		GlycoMotif:GGM.000104; GlycoMotif:GDV.000019; GlycoMotif:CCRC.000104	CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
B-GM1						1A	G11485ID; G46884IT	GSD000021	GlycoMotif:GGM.000102; GlycoMotif:GDV.000018; GlycoMotif:CCRC.000102	GSD_GLYGEN_V0; SUGARBIND; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
B-Ley						1A	G89208KM			PUBDICT_GLYCAN_MOTIF	
B2-tri						1A				PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
B7 type 1	B Lewis b(7)					1A	G22689CV			SUGARBIND	
Blood group ! - Lewis Y-associated type 2 chain	Blood group A (type 2)  (A-Lewis Y)					1A	G54826OZ		GlycoMotif:GDV.000059	GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
blood group A	Blood Group A Like					1A	G00066MO; G17108EX; G33888AF; G58507AZ; G48600JD; G88356HA; G10902TC		GlycoMotif:CCRC.000038	PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC	Efforts to generate “universal donor” red blood cells, via enzymatic conversion of blood group A and B antigens to the O state using bacterial enzymes, are underway.
Blood group A (type 1)  (A-Lewis b)	Blood group A (type 1) (A-Leb)					1A	G97501MA		GlycoMotif:GDV.000054	GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
Blood group A (type 1) - Lewis b		A-Leb; A-Le^b				1A	G97501MA		GlycoMotif:GGM.000047	GLYCOMOTIF_GGM	
Blood group A (type 2) (A-Ley)						1A	G54826OZ			PUBDICT_GLYCAN_MOTIF	
Blood group A (type 2) - Lewis y		A-Ley; A-Le^y				1A	G54826OZ		GlycoMotif:GGM.000039	GLYCOMOTIF_GGM	
Blood group A antigen hexaose type 1						1A				BIOOLIGO	
Blood group A antigen hexaose type 2						1A				BIOOLIGO	
Blood group A antigen pentaose type 1						1A				BIOOLIGO	
Blood group A antigen pentaose type 2						1A				BIOOLIGO	
Blood group A antigen pentaose type 4						1A				BIOOLIGO	
Blood group A antigen tetraose type 1						1A				BIOOLIGO	
Blood group A antigen tetraose type 2						1A				BIOOLIGO	
Blood group A antigen tetraose type 5						1A				BIOOLIGO	
Blood group A antigen triose						1A				BIOOLIGO	
blood group A determinant	A blood group determinant			blood group A trisaccharide		1A	G00066MO	GSD000029		EOG_VARKI_4E; GSD_GLYGEN_V0	
Blood group A Lewis B antigen pentaose type1						1A				BIOOLIGO	
Blood group A Lewis Y antigen pentaose type2						1A				BIOOLIGO	
blood group A trisaccharide						1A	G00066MO			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE	
blood group A type 1	A type 1; Blood group A(1); blood group A antigen type 1					1A	G66163TI; G03986GH; G44060QH; G97501MA	GSD000030	GlycoMotif:GGM.000044; GlycoMotif:GDV.000058; GlycoMotif:CCRC.000040	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
blood group A type 1 (difucosyl)	Blood Group A Type 1 (difucosyl)					1A	G97501MA			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
blood group A type 2	A type 2; Blood group A type 2 chain		type 2; Blood group A			1A	G74353FF; G54826OZ	GSD000014	GlycoMotif:GGM.000038; GlycoMotif:GDV.000060	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
blood group A type 2 (difucosyl)	Blood Group A Type 2 (difucosyl)					1A	G54826OZ			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Blood group A type 2 tetrasaccharide						1A	G17108EX			SUGARBIND	
blood group A type 3	A type 3 antigen					1A	G99315PE	GSD000187	GlycoMotif:GGM.000011	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
blood group A type 4	A type 4					1A	G37830TX; G17480GI	GSD000028	GlycoMotif:GGM.000088; GlycoMotif:GDV.000057	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
Blood group A1 (type 3)						1A	G44060QH		GlycoMotif:GGM.000040; GlycoMotif:GDV.000055	GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
Blood group A1 - type 3 chain			type 3; Blood group A1			1A				CUMMINGS	
Blood group A2						1A	G19804SF; G62735WZ		GlycoMotif:CCRC.000041	GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF	
Blood group A2 (A-associated H type 3)						1A	G62735WZ		GlycoMotif:GGM.000041	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF	
Blood group A2 - A-associated H type 3 chain	A-associated H type 3; Blood group A2 (A-associated H type 3)		Blood group A2			1A	G62735WZ		GlycoMotif:GDV.000005	CUMMINGS; GLYCOMOTIF_GDV	
Blood group B						1A	G41865GQ; G26934CO; G60395SO; G65112QB; G00067MO		GlycoMotif:CCRC.000037	GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	Similarly, blood group B individuals show circulating IgM anti-A isoagglutinins, but they do not make isoagglutinins against the blood group B determinant, a “self” antigen.
Blood group B (type 1) (B-Ley)						1A	G89208KM			PUBDICT_GLYCAN_MOTIF	
Blood group B (type 1) - Lewis b		B-Leb; B-Le^b				1A	G89208KM		GlycoMotif:GGM.000046	GLYCOMOTIF_GGM	
Blood group B - Lewis Y-associated type 1 chain	Blood group B (type 1)  (B-Lewis Y)					1A	G89208KM		GlycoMotif:GDV.000016	GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
Blood group B - type 2 chain			type 2; Blood group B			1A				CUMMINGS	
Blood group B - type 4 chain	Blood group B (type 4)					1A	G25216QA		GlycoMotif:GDV.000017	GLYCOMOTIF_GDV	
Blood group B antigen hexaose type 1						1A				BIOOLIGO	
Blood group B antigen hexaose type 2						1A				BIOOLIGO	
Blood group B antigen pentaose type 1						1A				BIOOLIGO	
Blood group B antigen pentaose type 2						1A				BIOOLIGO	
Blood group B antigen pentaose type 4						1A				BIOOLIGO	
Blood group B antigen tetraose type 1						1A				BIOOLIGO	
Blood group B antigen tetraose type 2						1A				BIOOLIGO	
Blood group B antigen tetraose type 5						1A				BIOOLIGO	
Blood group B antigen triose						1A				BIOOLIGO	
blood group B determinant	B blood group determinant					1A				EOG_VARKI_4E	Type-4 H, A, and B antigens form the O (H), A, and B blood group determinants on glycolipids.
Blood group B Lewis Y antigen pentaose type1						1A				BIOOLIGO	
Blood group B Lewis Y antigen pentaose type2						1A				BIOOLIGO	
blood group B type 1	B type 1			blood group B type 1 tetrasaccharide		1A	G31734OS; G89208KM	GSD000033	GlycoMotif:GGM.000043; GlycoMotif:GDV.000020	GSD_GLYGEN_V0; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF	
blood group B type 2	B type 2					1A	G34881WK; G94956AW	GSD000034	GlycoMotif:GGM.000037; GlycoMotif:GDV.000021	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
blood group B type 4	B type 4					1A	G25216QA	GSD000035	GlycoMotif:GGM.000087	GSD_GLYGEN_V0; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF	
blood group H						1A	G00068MO; G43391VM; G50899UD; G49963IQ		GlycoMotif:CCRC.000036	PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOMOTIF_CCRC; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC	
Blood group H (type 1)	type 1 blood group H core trisaccharide; H type 1					1A	G40696TO; G00294TN		GlycoMotif:GGM.000042	GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE	
Blood group H (type 2) - Lewis y		H-Ley; H-Le^y				1A	G00052MO		GlycoMotif:GGM.000045	GLYCOMOTIF_GGM	
Blood group H - Lewis Y-associated type 2 chain	Blood group H (type 2)  (Lewis Y)					1A	G00052MO		GlycoMotif:GDV.000012	GLYCOMOTIF_GDV	
Blood group H - type 1 chain	Blood group H (type 1)					1A	G00294TN		GlycoMotif:GDV.000011	GLYCOMOTIF_GDV	
Blood group H - type 2 chain	Blood group H (type 2)		type 2; Blood group H			1A	G70519XK		GlycoMotif:GDV.000015	CUMMINGS; GLYCOMOTIF_GDV	
Blood group H antigen pentaose type 2						1A				BIOOLIGO	
Blood group H antigen tetraose type 1						1A				BIOOLIGO	
Blood group H antigen tetraose type 2						1A				BIOOLIGO	
Blood group H antigen tetraose type 4					Globo H tetraose	1A				BIOOLIGO	
Blood group H antigen triaose type 2						1A				BIOOLIGO	
Blood group H antigen triose type 1						1A				BIOOLIGO	
Blood group H antigen triose type 3						1A				BIOOLIGO	
Blood group H antigen triose type 4						1A				BIOOLIGO	
Blood group H antigen triose type 5						1A				BIOOLIGO	
Blood group H antigen triose type 6						1A				BIOOLIGO	
blood group H determinant	H blood group determinant					1A				EOG_VARKI_4E	Blood group antigen synthesis begins with modification of Type-1 or Type-2 structures by the transfer of α1-2Fuc to Gal to form the blood group H determinant.
blood group H disaccharide						1A	G00068MO			PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF	
Blood Group H Like						1A	G82749ZI			PUBDICT_GLYCAN_MOTIF	
blood group H type 2	H type 2; H type 2 chain; H type 2 antigen; type 2 chain H; blood group H type II		Blood group H; Blood group type 2			1A	G70519XK; G61459JW; G00052MO	GSD000037	GlycoMotif:GGM.000036	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_GLYCONAVI_NAME; PUBDICT_GLYCONAVI_ABBREV	
blood group H type 3	H type 3; H antigen (type 3); Type 3 chain H		H antigen			1A	G94435QH	GSD000105	GlycoMotif:GGM.000010; GlycoMotif:GDV.000006	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; CUMMINGS; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
blood group H type 4	H type 4					1A	G98465JN; G35778AN	GSD000039	GlycoMotif:GGM.000086; GlycoMotif:GDV.000007	GSD_GLYGEN_V0; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; GLYCOMOTIF_GGM; GLYCOMOTIF_GDV; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
CA19-9 antigen	CA19-9; carbohydrate antigen 19-9				sialyl Lewis a; Sialyl Lewis a	1A	G00053MO			PUBDICT_GLYCAN_MOTIF; EOG_VARKI_4E; GSD_GLYGEN_V0	
CAD						1A	G00063MO			PUBDICT_GLYCAN_MOTIF; PUBDICT_MOTIF_GTC	
CD77					Gb3	1A	G00059MO			EOG_VARKI_4E; GSD_GLYGEN_V0	
Chodroitin Sulfate D Unit						1A	G46732TY			PUBDICT_GLYCAN_MOTIF	
chondroitin						1A	G43702JT; G00018MO			EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS; PUBDICT_MOTIF_GTC	Superficially, this would seem to make sense, because primary glycans of cartilage include hyaluronan (see Chapter 15) and chondroitin sulfate, both of which contain hexosamines within their structure (see Chapter 16).
Chondroitin 4S						1A	G00018MO			PUBDICT_GLYCAN_MOTIF	
chondroitin sulfate	chondroitin sulfuric acid; chondroitin sulphate			chondroitin polysulfate		1A	G00018MO	GSD000043		EOG_VARKI_4E; GSD_GLYGEN_V0; PUBDICT_MOTIF_GTC	For example, dermatan sulfate is defined as having one or more iduronic acid–containing disaccharide units (chondroitin sulfate B) as well as glucuronic acid–containing disaccharides (chondroitin sulfate A and C).
chondroitin sulfate A					chondroitin-4-sulfate	1A				EOG_VARKI_4E; GSD_GLYGEN_V0	For example, dermatan sulfate is defined as having one or more iduronic acid–containing disaccharide units (chondroitin sulfate B) as well as glucuronic acid–containing disaccharides (chondroitin sulfate A and C).
chondroitin sulfate B					dermatan sulfate	1A				EOG_VARKI_4E; GSD_GLYGEN_V0	For example, dermatan sulfate is defined as having one or more iduronic acid–containing disaccharide units (chondroitin sulfate B) as well as glucuronic acid–containing disaccharides (chondroitin sulfate A and C).
chondroitin sulfate C						1A				EOG_VARKI_4E; GSD_GLYGEN_V0	
chondroitin sulfate D						1A	G46732TY			PUBDICTIONARIES-GLYCAN-IMAGE	
Chondroitin Sulfate D Unit	Chindroitin Sulfate D Unit					1A	G46732TY			GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
chondroitin sulfate/dermatan sulfate	chondroitin/dermatan sulfate	CS/DS				1A		GSD000184		GSD_GLYGEN_V0	Biosynthesis of chondroitin sulfate/dermatan sulfate involves the polymerization of N-acetylgalactosamine and glucuronic acid units and a series of modification reactions including O-sulfation and epimerization of glucuronic acid to iduronic acid.
chondroitin-4-sulfate	4-sulfated chondroitin sulfate				chondroitin sulfate A	1A	G19059PI			EOG_VARKI_4E; PUBDICTIONARIES-GLYCAN-IMAGE; GLYCOEPITOPE; PUBDICT_GLYCAN_MOTIF; PUBDICT_GLYCOSMOS	
