id	label	bgsl_curator_meta
http://rdf.glyconavi.org/CarTNa/CarTNa116/trivialname	Forosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa200/trivialname	Fructose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa203/trivialname	Fucosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa204/trivialname	Fucose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa4/trivialname	Fucosyl GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa8/trivialname	GD1a	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa104/trivialname	GD1a	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa9/trivialname	GD1b	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa107/trivialname	GD2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa10/trivialname	GD3	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa108/trivialname	GD3	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa13/trivialname	GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa96/trivialname	GM1	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa102/trivialname	GM2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa14/trivialname	GM2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa15/trivialname	GM3	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa50/trivialname	GM3	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa49/trivialname	GM3 (no spacer)	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa16/trivialname	GM3(NeuGc)	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa23/trivialname	GN	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa44/trivialname	GNLN	"{""keep"": true, ""suggested_class"": ""2D""}"
http://rdf.glyconavi.org/CarTNa/CarTNa17/trivialname	GQ1b	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa111/trivialname	GQ2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa18/trivialname	GT1b	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa110/trivialname	GT2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa109/trivialname	GT3	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa35/trivialname	Gala3-type1	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa71/trivialname	Gala3Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa234/trivialname	Galabiose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa6/trivialname	Galactocerebroside (2-hydoxy fatty acid)	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa5/trivialname	Galactocerebroside (non-hydroxy fatty acid)	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa205/trivialname	Galactosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa207/trivialname	Galactose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa36/trivialname	Galili-tri	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa237/trivialname	Gangliotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa236/trivialname	Gangliotriose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa117/trivialname	Garosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa7/trivialname	Gb4	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa148/trivialname	Gentianose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa149/trivialname	Gentiobiose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa241/trivialname	Globotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa240/trivialname	Globotriose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa11/trivialname	Glucocerebrosides	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa12/trivialname	Glucopsychosine	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa208/trivialname	Glucosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa209/trivialname	Glucosaminitol	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa210/trivialname	Glucose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa211/trivialname	Glyceraldehyde	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa212/trivialname	Glycerol	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa213/trivialname	Glycerone	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa214/trivialname	Gulose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa32/trivialname	H-type1	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa34/trivialname	H-type2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa62/trivialname	H2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa66/trivialname	H3	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa150/trivialname	Hamamelose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa215/trivialname	Idose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa151/trivialname	Inulin	"{""keep"": true, ""suggested_class"": ""1C""}"
http://rdf.glyconavi.org/CarTNa/CarTNa242/trivialname	Isoglobotriose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa152/trivialname	Isolevoglucosenone	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa153/trivialname	Isomaltose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa154/trivialname	Isomaltotriose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa155/trivialname	Isopanose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa118/trivialname	Kanosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa119/trivialname	Kansosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa156/trivialname	Kojibiose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa202/trivialname	L-Fucitol	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa28/trivialname	LDN	"{""keep"": true, ""suggested_class"": ""1B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa31/trivialname	LN	"{""keep"": true, ""suggested_class"": ""1B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa77/trivialname	LNT	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa45/trivialname	LNT-2	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa84/trivialname	LNnT	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa26/trivialname	Lac	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa27/trivialname	LacNAc	"{""keep"": true, ""suggested_class"": ""1B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa158/trivialname	Lactosamine	"{""keep"": true, ""suggested_class"": ""1B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa235/trivialname	Lactose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa157/trivialname	Lactose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa159/trivialname	Lactosediamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa19/trivialname	Lactosylceramides	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa238/trivialname	Lactotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa160/trivialname	Laminarabiose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa40/trivialname	LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa73/trivialname	LeALex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa25/trivialname	Lec	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa75/trivialname	Lec-LeX	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa161/trivialname	Levoglucosan	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa162/trivialname	Levoglucosenone	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa42/trivialname	Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa81/trivialname	Lex-LeA	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa63/trivialname	Ley	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa64/trivialname	Ley -Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa65/trivialname	Ley-Di-Lex	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa216/trivialname	Lyxose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa163/trivialname	Maltose	"{""keep"": true, ""suggested_class"": ""DISCARD""}"
http://rdf.glyconavi.org/CarTNa/CarTNa164/trivialname	Manninotriose	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa217/trivialname	Mannosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa218/trivialname	Mannose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa165/trivialname	Melezitose	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa166/trivialname	Melibiose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa167/trivialname	Muramic acid	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa120/trivialname	Mycaminose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa168/trivialname	Mycarose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa169/trivialname	Mycinose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa121/trivialname	Mycosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa239/trivialname	Neolactotetraose	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa170/trivialname	Neuraminic acid	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa171/trivialname	Nigerose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa172/trivialname	Nojirimycin	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa173/trivialname	Noviose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa174/trivialname	Oleandrose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa76/trivialname	P1 penta	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa72/trivialname	P1 penta	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa89/trivialname	P1 tetra	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa39/trivialname	P1 tri	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa175/trivialname	Panose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa176/trivialname	Paratose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa122/trivialname	Perosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa38/trivialname	Pk	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa177/trivialname	Planteose	"{""keep"": true, ""suggested_class"": ""2B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa123/trivialname	Pneumosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa178/trivialname	Primeverose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa219/trivialname	Psicose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa124/trivialname	Purpurosamine C	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa221/trivialname	Quinovosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa220/trivialname	Quinovose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa179/trivialname	Raffinose	"{""keep"": true, ""suggested_class"": ""1C""}"
http://rdf.glyconavi.org/CarTNa/CarTNa222/trivialname	Rhamnitol	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa223/trivialname	Rhamnosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa224/trivialname	Rhamnose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa180/trivialname	Rhodinose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa125/trivialname	Rhodosamine	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa225/trivialname	Ribose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa226/trivialname	Ribulose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa181/trivialname	Rutinose	"{""keep"": true, ""suggested_class"": ""3B""}"
http://rdf.glyconavi.org/CarTNa/CarTNa93/trivialname	SSEA-4	"{""keep"": true, ""suggested_class"": ""1A""}"
http://rdf.glyconavi.org/CarTNa/CarTNa29/trivialname	STn	"{""keep"": true, ""suggested_class"": ""1A""}"
