id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
CCRC.000083	Cytolipin R	G19926LY			https://glycomotif.glyomics.org/glycomotif/CCRC.000083	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000084	Forssman glycolipid	G00064MO			https://glycomotif.glyomics.org/glycomotif/CCRC.000084	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000085	para-Forssman glycolipid	G98848EU			https://glycomotif.glyomics.org/glycomotif/CCRC.000085	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000087	Blood group B	G65112QB			https://glycomotif.glyomics.org/glycomotif/CCRC.000087	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000088	Blood group A	G88356HA			https://glycomotif.glyomics.org/glycomotif/CCRC.000088	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000089	GM4	G77824XV			https://glycomotif.glyomics.org/glycomotif/CCRC.000089	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000090	GM3	G56516VH			https://glycomotif.glyomics.org/glycomotif/CCRC.000090	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000091	GD3	G81928IQ			https://glycomotif.glyomics.org/glycomotif/CCRC.000091	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000092	GT3	G33570YF			https://glycomotif.glyomics.org/glycomotif/CCRC.000092	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000093	9-O-Acetyl GD3	G81928IQ			https://glycomotif.glyomics.org/glycomotif/CCRC.000093	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000094	GD2	G41759HA			https://glycomotif.glyomics.org/glycomotif/CCRC.000094	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000095	GM2	G61168WC			https://glycomotif.glyomics.org/glycomotif/CCRC.000095	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000096	N-Glycolyl-GM2	G18221CF			https://glycomotif.glyomics.org/glycomotif/CCRC.000096	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000097	Sialopentaosylceramide	G96400MT			https://glycomotif.glyomics.org/glycomotif/CCRC.000097	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000098	GM1	G46613JI			https://glycomotif.glyomics.org/glycomotif/CCRC.000098	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000099	Asialo-GM1	G00407UJ			https://glycomotif.glyomics.org/glycomotif/CCRC.000099	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000100	cisGM1	G14633CL			https://glycomotif.glyomics.org/glycomotif/CCRC.000100	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000101	2-Fucosyl-GM1	G56526JU			https://glycomotif.glyomics.org/glycomotif/CCRC.000101	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000102	B-GM1	G46884IT			https://glycomotif.glyomics.org/glycomotif/CCRC.000102	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000103	2-Fucosyl-GD1b	G67383AR			https://glycomotif.glyomics.org/glycomotif/CCRC.000103	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000104	B-GD1b	G29966WK			https://glycomotif.glyomics.org/glycomotif/CCRC.000104	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000105	GD1	G24638PB			https://glycomotif.glyomics.org/glycomotif/CCRC.000105	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000106	GD1a	G13258LA			https://glycomotif.glyomics.org/glycomotif/CCRC.000106	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000107	GD1a	G69277LC			https://glycomotif.glyomics.org/glycomotif/CCRC.000107	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000108	GD1b	G97612UN			https://glycomotif.glyomics.org/glycomotif/CCRC.000108	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000109	GT2	G35228ZS			https://glycomotif.glyomics.org/glycomotif/CCRC.000109	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000110	GT1a	G93468NI			https://glycomotif.glyomics.org/glycomotif/CCRC.000110	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000111	GT1aa	G17486WU			https://glycomotif.glyomics.org/glycomotif/CCRC.000111	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GT1a-alpha""}"
CCRC.000112	GT1b	G05952XV			https://glycomotif.glyomics.org/glycomotif/CCRC.000112	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000113	GT1c	G50762GU			https://glycomotif.glyomics.org/glycomotif/CCRC.000113	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000114	GQ1aa	G26199BG			https://glycomotif.glyomics.org/glycomotif/CCRC.000114	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GQ1a-alpha""}"
CCRC.000115	GQ1b	G17077FL			https://glycomotif.glyomics.org/glycomotif/CCRC.000115	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000116	GQ1ba	G49791FJ			https://glycomotif.glyomics.org/glycomotif/CCRC.000116	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GQ1b-alpha""}"
CCRC.000117	GQ1c	G54442GQ			https://glycomotif.glyomics.org/glycomotif/CCRC.000117	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000118	GP1c	G77608BK			https://glycomotif.glyomics.org/glycomotif/CCRC.000118	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000119	GP1ca	G16999RL			https://glycomotif.glyomics.org/glycomotif/CCRC.000119	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GP1c-alpha""}"
CCRC.000120	GH1ca	G86139YL			https://glycomotif.glyomics.org/glycomotif/CCRC.000120	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GH1c-alpha""}"
CCRC.000121	Mono-fucosyl LN5	G93536PN			https://glycomotif.glyomics.org/glycomotif/CCRC.000121	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000122	Mono-fucosyl LN3	G80291PD			https://glycomotif.glyomics.org/glycomotif/CCRC.000122	"{""keep"": true, ""suggested_class"": ""1B""}"
CCRC.000124	Extended tetrafucosyl-Leb338	G75811PV			https://glycomotif.glyomics.org/glycomotif/CCRC.000124	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000126	Dimeric Lea	G06148DR			https://glycomotif.glyomics.org/glycomotif/CCRC.000126	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000127	Sialyl Lea glycolipid	G91326YS			https://glycomotif.glyomics.org/glycomotif/CCRC.000127	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000128	Monosialylganglioside LSTb	G72506RN			https://glycomotif.glyomics.org/glycomotif/CCRC.000128	"{""keep"": true, ""suggested_class"": ""1A""}"
CCRC.000129	HNK-expressing SGLPG	G43040ZY			https://glycomotif.glyomics.org/glycomotif/CCRC.000129	"{""keep"": true, ""suggested_class"": ""1A""}"
