#label	id	bgsl_curator_meta
Asialo-GM1	https://glytoucan.org/Structures/Glycans/G00407UJ	"{""keep"": true, ""suggested_class"": ""1A""}"
Asialo GM1	https://glytoucan.org/Structures/Glycans/G21856LC	"{""keep"": true, ""suggested_class"": ""1A""}"
Asialo-GM1	https://glytoucan.org/Structures/Glycans/G21856LC	"{""keep"": true, ""suggested_class"": ""1A""}"
A type 1 A Lewis b	https://glytoucan.org/Structures/Glycans/G12068BR	"{""keep"": true, ""suggested_class"": ""1A""}"
Bata Galactose	https://glytoucan.org/Structures/Glycans/G65889KE	"{""keep"": true, ""suggested_class"": ""2A""}"
beta 1-4 Galactan	https://glytoucan.org/Structures/Glycans/G77076MY	"{""keep"": true, ""suggested_class"": ""1C""}"
Beta Galoctose	https://glytoucan.org/Structures/Glycans/G65889KE	"{""keep"": true}"
Beta-glucan	https://glytoucan.org/Structures/Glycans/G00024MO	"{""keep"": true, ""suggested_class"": ""1C""}"
B-GD1b	https://glytoucan.org/Structures/Glycans/G29966WK	"{""keep"": true, ""suggested_class"": ""1A""}"
B-GD1b	https://glytoucan.org/Structures/Glycans/G72557NR	"{""keep"": true, ""suggested_class"": ""1A""}"
B-GM1	https://glytoucan.org/Structures/Glycans/G11485ID	"{""keep"": true, ""suggested_class"": ""1A""}"
B-GM1	https://glytoucan.org/Structures/Glycans/G46884IT	"{""keep"": true, ""suggested_class"": ""1A""}"
B Lewis b	https://glytoucan.org/Structures/Glycans/G60395SO	"{""keep"": true, ""suggested_class"": ""1A""}"
B-Ley	https://glytoucan.org/Structures/Glycans/G89208KM	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A1	https://glytoucan.org/Structures/Glycans/G03986GH	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A1	https://glytoucan.org/Structures/Glycans/G44060QH	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A1 (type 3)	https://glytoucan.org/Structures/Glycans/G44060QH	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A2 (A-associated H type 3)	https://glytoucan.org/Structures/Glycans/G62735WZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A2	https://glytoucan.org/Structures/Glycans/G19804SF	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A2	https://glytoucan.org/Structures/Glycans/G62735WZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A	https://glytoucan.org/Structures/Glycans/G17108EX	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A	https://glytoucan.org/Structures/Glycans/G58507AZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Like	https://glytoucan.org/Structures/Glycans/G10902TC	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 1) (A-Leb)	https://glytoucan.org/Structures/Glycans/G97501MA	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 1)  (A-Lewis b)	https://glytoucan.org/Structures/Glycans/G97501MA	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 1 (difucosyl)	https://glytoucan.org/Structures/Glycans/G97501MA	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 1)	https://glytoucan.org/Structures/Glycans/G66163TI	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 1	https://glytoucan.org/Structures/Glycans/G66163TI	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 1)	https://glytoucan.org/Structures/Glycans/G97501MA	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 2)  (A-Lewis Y)	https://glytoucan.org/Structures/Glycans/G54826OZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 2) (A-Ley)	https://glytoucan.org/Structures/Glycans/G54826OZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 2 (difucosyl)	https://glytoucan.org/Structures/Glycans/G54826OZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 2)	https://glytoucan.org/Structures/Glycans/G54826OZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 2)	https://glytoucan.org/Structures/Glycans/G74353FF	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 2	https://glytoucan.org/Structures/Glycans/G74353FF	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 3	https://glytoucan.org/Structures/Glycans/G99315PE	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group A Type 4	https://glytoucan.org/Structures/Glycans/G17480GI	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group A (type 4)	https://glytoucan.org/Structures/Glycans/G37830TX	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B	https://glytoucan.org/Structures/Glycans/G00067MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B	https://glytoucan.org/Structures/Glycans/G26934CO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B	https://glytoucan.org/Structures/Glycans/G41865GQ	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B	https://glytoucan.org/Structures/Glycans/G60395SO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B	https://glytoucan.org/Structures/Glycans/G65112QB	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B (type 1)  (B-Lewis Y)	https://glytoucan.org/Structures/Glycans/G89208KM	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B (type 1) (B-Ley)	https://glytoucan.org/Structures/Glycans/G89208KM	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B (type 1)	https://glytoucan.org/Structures/Glycans/G31734OS	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group B Type 1	https://glytoucan.org/Structures/Glycans/G31734OS	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B (type 1)	https://glytoucan.org/Structures/Glycans/G89208KM	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B (type 2)	https://glytoucan.org/Structures/Glycans/G34881WK	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group B Type 2	https://glytoucan.org/Structures/Glycans/G94956AW	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group B (type 4)	https://glytoucan.org/Structures/Glycans/G25216QA	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group H Disaccharide	https://glytoucan.org/Structures/Glycans/G00068MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group H	https://glytoucan.org/Structures/Glycans/G00068MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group H	https://glytoucan.org/Structures/Glycans/G43391VM	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group H	https://glytoucan.org/Structures/Glycans/G50899UD	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group H Like	https://glytoucan.org/Structures/Glycans/G82749ZI	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group H (type 1)	https://glytoucan.org/Structures/Glycans/G00294TN	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group H Type 1	https://glytoucan.org/Structures/Glycans/G40696TO	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group H (type 2)	https://glytoucan.org/Structures/Glycans/G00052MO	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Has related synonym Lewis y.""}"
Blood Group H Type 2	https://glytoucan.org/Structures/Glycans/G61459JW	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group H (type 2)	https://glytoucan.org/Structures/Glycans/G70519XK	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group H Type 3	https://glytoucan.org/Structures/Glycans/G94435QH	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood Group H Type 4	https://glytoucan.org/Structures/Glycans/G35778AN	"{""keep"": true, ""suggested_class"": ""1A""}"
Blood group H (type 4)	https://glytoucan.org/Structures/Glycans/G98465JN	"{""keep"": true, ""suggested_class"": ""1A""}"
B type 1 B Lewis b	https://glytoucan.org/Structures/Glycans/G94938PL	"{""keep"": true, ""suggested_class"": ""1A""}"
CA19-9 antigen	https://glytoucan.org/Structures/Glycans/G00053MO	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Has related synonym Sialyl Lewis a.""}"
CAD	https://glytoucan.org/Structures/Glycans/G00063MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Cellulose like Glc(1-4)n	https://glytoucan.org/Structures/Glycans/G00025MO	"{""keep"": true, ""suggested_class"": ""1C""}"
Ceramide dihexosyl sulfate	https://glytoucan.org/Structures/Glycans/G04416BG	"{""keep"": true, ""suggested_class"": ""1B""}"
Ceramide dihexosyl sulfate	https://glytoucan.org/Structures/Glycans/G50926NK	"{""keep"": true, ""suggested_class"": ""1B""}"
Ceramide dihexosyl sulfate	https://glytoucan.org/Structures/Glycans/G98482BC	"{""keep"": true, ""suggested_class"": ""1B""}"
Chindroitin Sulfate D Unit	https://glytoucan.org/Structures/Glycans/G46732TY	"{""keep"": true, ""suggested_class"": ""1A""}"
Chitobios	https://glytoucan.org/Structures/Glycans/G07982RO	"{""keep"": true}"
Chodroitin Sulfate D Unit	https://glytoucan.org/Structures/Glycans/G46732TY	"{""keep"": true}"
Chondroitin 4S	https://glytoucan.org/Structures/Glycans/G00018MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin-4-Sulfate	https://glytoucan.org/Structures/Glycans/G19059PI	"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin-6-Sulfate	https://glytoucan.org/Structures/Glycans/G34992DF	"{""keep"": true, ""suggested_class"": ""1A""}"
Chondroitin	https://glytoucan.org/Structures/Glycans/G43702JT	"{""keep"": true, ""suggested_class"": ""1A""}"
cisGM1 (GM1b)	https://glytoucan.org/Structures/Glycans/G03277YI	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""cisGM1""}"
cisGM1	https://glytoucan.org/Structures/Glycans/G14633CL	"{""keep"": true, ""suggested_class"": ""1A""}"
Core 1	https://glytoucan.org/Structures/Glycans/G00031MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Core 1 / T antigen	https://glytoucan.org/Structures/Glycans/G58645HA	"{""keep"": true, ""suggested_class"": ""1A""}"
C-Series Gangliosides / Gangliotetraosyl Core	https://glytoucan.org/Structures/Glycans/G78818SP	"{""keep"": true}"
C-Series Gangliosides / Hemato- or Ganglio-Type	https://glytoucan.org/Structures/Glycans/G45770AV	"{""keep"": true}"
C-Series Gangliosides Oligosaccharide / Gangliotetraosyl Core Structure	https://glytoucan.org/Structures/Glycans/G78818SP	"{""keep"": true, ""suggested_class"": ""1B""}"
C-Series Gangliosides  Oligosaccharide / Hemato- or Ganglio-Type	https://glytoucan.org/Structures/Glycans/G45770AV	"{""keep"": true, ""suggested_class"": ""1B""}"
Cyclic Sialyl 6-Sulfo Lewis x	https://glytoucan.org/Structures/Glycans/G11148DZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Cyclic sialyl 6-sulfo Lewis x	https://glytoucan.org/Structures/Glycans/G53231FE	"{""keep"": true, ""suggested_class"": ""1A""}"
Cyclic sialyl 6-sulfo Lewis x	https://glytoucan.org/Structures/Glycans/G80722US	"{""keep"": true, ""suggested_class"": ""1A""}"
Cytolipin R	https://glytoucan.org/Structures/Glycans/G19926LY	"{""keep"": true, ""suggested_class"": ""1A""}"
Cytolipin R	https://glytoucan.org/Structures/Glycans/G57710SU	"{""keep"": true, ""suggested_class"": ""1A""}"
Delta-Heparan Sulfate	https://glytoucan.org/Structures/Glycans/G17927IW	"{""keep"": true, ""suggested_class"": ""1A""}"
Dermatansulfate	https://glytoucan.org/Structures/Glycans/G00019MO	"{""keep"": true, ""suggested_class"": ""1A""}"
Dimeric Lea	https://glytoucan.org/Structures/Glycans/G06148DR	"{""keep"": true, ""suggested_class"": ""1A""}"
Dimeric Lewis a	https://glytoucan.org/Structures/Glycans/G21808VY	"{""keep"": true, ""suggested_class"": ""1A""}"
Dimeric Lewis a	https://glytoucan.org/Structures/Glycans/G82106UN	"{""keep"": true, ""suggested_class"": ""1A""}"
Dimeric Lewis x	https://glytoucan.org/Structures/Glycans/G79535HZ	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialogangliotetraosylceramide	https://glytoucan.org/Structures/Glycans/G37184KW	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialogangliotetraosylceramide	https://glytoucan.org/Structures/Glycans/G46677TE	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialosyl galactosyl globoside	https://glytoucan.org/Structures/Glycans/G97932OH	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialosyl globopentaosylceramide	https://glytoucan.org/Structures/Glycans/G75814EP	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialosyl globopentaosylceramide	https://glytoucan.org/Structures/Glycans/G97932OH	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialylactose	https://glytoucan.org/Structures/Glycans/G97569KL	"{""keep"": true}"
Disialyl-branched Type 2	https://glytoucan.org/Structures/Glycans/G54937EM	"{""keep"": true, ""suggested_class"": ""1B""}"
Disialyl Gb5	https://glytoucan.org/Structures/Glycans/G97932OH	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl I	https://glytoucan.org/Structures/Glycans/G54937EM	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl Lewis a	https://glytoucan.org/Structures/Glycans/G93400AK	"{""keep"": true, ""suggested_class"": ""1A""}"
Disialyl Lewis c	https://glytoucan.org/Structures/Glycans/G14000ZZ	"{""keep"": true, ""suggested_class"": ""1A""}"
