id	label	glytoucan_id	names	keywords	url	bgsl_curator_meta
GGM.000090	GM3	G91237TK		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000090	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000091	GD3	G98544DH		Disialylated ganglioside|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000091	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000092	GT3	G93899SO		Glycolipid|Trisialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000092	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000093	9-O-Acetyl GD3	G98544DH		Disialylated ganglioside|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000093	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000094	GD2	G02657AK		Disialylated ganglioside|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000094	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000095	GM2	G79389NT		Glycolipid|Monosialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000095	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000096	N-Glycolyl-GM2	G56478LD		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000096	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000097	Sialopentaosylceramide	G13224CR		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000097	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000098	GM1	G48558GR		Glycolipid|Monosialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000098	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000099	Asialo-GM1	G21856LC	Gangliotetraosylceramide	Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000099	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000100	cisGM1	G03277YI	GM1b	Glycolipid|Monosialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000100	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000101	2-Fucosyl-GM1	G91532KA		Glycolipid|Monosialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000101	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000102	B-GM1	G11485ID		Glycolipid|Monosialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000102	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000103	2-Fucosyl-GD1b	G93694YU		Disialylated ganglioside|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000103	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000104	B-GD1b	G72557NR		Disialylated ganglioside|Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000104	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000105	GD1	G81983KG	GD1c	Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000105	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GD1c""}"
GGM.000106	GD1a	G45714BQ	GD1alpha	Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000106	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GD1a-alpha"", ""notes"": ""Description: this refers to GD1a-alpha, not GD1a.""}"
GGM.000107	GD1a	G46677TE		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000107	"{""keep"": true, ""suggested_class"": ""1A"", ""notes"": ""Not to be confused with: GD1a-alpha""}"
GGM.000108	GD1b	G37184KW		Glycolipid	https://glycomotif.glyomics.org/glycomotif/GGM.000108	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000109	GT2	G36476BA		Glycolipid|Trisialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000109	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000110	GT1a	G68110IF		Glycolipid|Trisialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000110	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000111	GT1aa	G02149VR	GT1aalpha	Glycolipid|Trisialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000111	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GT1a-alpha""}"
GGM.000112	GT1b	G40183QN		Glycolipid|Trisialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000112	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000113	GT1c	G78818SP		Glycolipid|Trisialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000113	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000114	GQ1aa	G90598GO	GQ1aalpha	Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000114	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GQ1a-alpha""}"
GGM.000115	GQ1b	G18625KA		Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000115	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000116	GQ1ba	G54733XO	GQ1balpha	Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000116	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GQ1b-alpha""}"
GGM.000117	GQ1c	G99524KA		Glycolipid|Tetrasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000117	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000118	GP1c	G93805MV		Glycolipid|Pentasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000118	"{""keep"": true, ""suggested_class"": ""1A""}"
GGM.000119	GP1ca	G04433GV	GP1calpha	Glycolipid|Pentasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000119	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GP1c-alpha""}"
GGM.000120	GH1ca	G14091MR	GH1calpha	Glycolipid|Hexasialylated ganglioside	https://glycomotif.glyomics.org/glycomotif/GGM.000120	"{""keep"": true, ""suggested_class"": ""1A"", ""preferred_label_override"": ""GH1c-alpha""}"
