id	label	glytoucan_id	aliases	url
GGM.001017	O-Glycan core 7	G00043MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001017
GGM.001018	O-Glycan core 7 fuzzy	G00044MO	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001018
GGM.001019	O-Mannose	G23707SD	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001019
GGM.001020	O-Fucose	G08324ZK	O-Fucose Core 1|O-Fucose Core Thrombospondin Type 1|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001020
GGM.001021	O-Fucose	G85661BQ	O-Fucose Core 2|O-Fucose Core EGF Type|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001021
GGM.001022	N-glycan core, truncated	G63560NE	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001022
GGM.001023	N-glycan core, bisected	G68395LV	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001023
GGM.001024	N-Glycan core, core-fucosylated	G68504BA	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001024
GGM.001025	N-Glycan core, arm-fucosylated	G05006NI	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001025
GGM.001026	N-Glycan core, alditol reduced	G62167DK	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001026
GGM.001027	N-Glycan core, superclass	G09820LN	N-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001027
GGM.001028	O-GlcNAc	G49108TO	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001028
GGM.001029	Human milk oligosaccharide	G15541SE	Milk Sugar Core	https://glycomotif.glyomics.org/glycomotif/GGM.001029
GGM.001030	GPI anchor	G46392BZ		https://glycomotif.glyomics.org/glycomotif/GGM.001030
GGM.001031	O-Glucosylation	G71142DF	O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001031
GGM.001032	O-Glycan core 8	G76355TG	Mucin-type O-glycan core|O-glycan classification	https://glycomotif.glyomics.org/glycomotif/GGM.001032
